customer_id,recency,age,monetary,kmeans_cluster,hierarchical_cluster
C100004,467,61,7502.0,5,
C100005,5,34,2400.68,4,
C100006,97,44,322.56,4,
C100012,570,25,130.75,1,
C100019,591,21,35.84,1,
C100025,643,55,143.36,0,
C100028,468,21,15.15,1,
C100030,146,46,4801.28,6,
C100034,579,60,1200.32,0,1.0
C100041,684,50,2700.7200000000003,0,
C100042,428,28,650.56,1,
C100045,422,48,5.23,0,
C100066,218,46,322.56,2,
C100067,791,62,600.17,0,
C100078,97,64,60.6,2,
C100088,733,30,5.23,1,
C100090,366,62,162.64,2,
C100095,150,31,130.75,4,
C100096,521,40,2700.7200000000003,1,
C100099,350,64,136.35000000000002,2,
C100102,189,18,2700.7200000000003,4,
C100105,235,49,5.23,2,
C100106,257,54,4801.28,2,
C100110,311,28,7502.0,6,0.0
C100112,287,68,300.08,2,
C100113,266,48,4801.28,2,
C100115,273,62,40.66,2,
C100121,339,64,11.73,2,
C100123,407,40,365.94,4,
C100124,631,45,47.07,0,
C100130,28,42,5401.53,6,
C100132,151,53,47.07,2,
C100138,345,58,2400.68,2,
C100139,722,35,1050.0,1,
C100141,364,33,60.6,4,
C100148,551,63,2700.7200000000003,0,
C100152,395,45,1200.32,0,
C100154,140,54,15.15,2,
C100155,5,61,300.08,2,
C100156,702,62,83.68,0,1.0
C100157,317,42,1016.5,4,
C100159,377,32,896.0,4,
C100168,140,48,26250.0,3,
C100172,364,41,573.44,4,
C100175,514,22,9602.72,6,
C100176,604,54,2700.7200000000003,0,
C100181,385,33,896.0,4,
C100182,508,37,293.25,1,
C100184,318,29,4200.0,6,
C100188,157,42,573.44,4,
C100189,62,33,322.56,4,
C100190,41,37,35.84,4,
C100198,766,63,162.64,0,
C100199,451,35,16800.0,3,2.0
C100201,491,64,300.08,0,1.0
C100204,221,59,1016.5,2,
C100211,104,62,9602.72,2,
C100218,487,26,7502.0,6,
C100221,773,30,9602.72,5,
C100225,351,26,143.36,4,
C100232,56,24,600.17,4,
C100235,85,66,2700.7200000000003,2,
C100236,12,59,1200.32,2,
C100241,492,28,650.56,1,
C100242,757,25,5.23,1,
C100246,453,25,1200.32,1,
C100247,276,21,2400.68,4,
C100253,486,62,600.17,0,
C100254,749,52,16800.0,3,
C100256,181,38,47.07,4,
C100259,789,22,143.36,1,1.0
C100261,116,63,4801.28,2,
C100272,370,23,83.68,4,
C100273,371,40,300.08,4,
C100281,10,38,1200.32,4,
C100282,522,31,1200.32,1,1.0
C100283,494,42,1200.32,1,
C100284,252,52,9450.0,6,
C100285,348,45,300.08,2,
C100286,641,58,4801.28,5,
C100291,643,39,105.57,1,
C100297,177,39,365.94,4,
C100298,573,31,2700.7200000000003,1,
C100299,166,22,15.15,4,
C100301,558,19,15.15,1,
C100305,471,44,300.08,0,
C100306,628,35,26250.0,3,
C100307,791,51,300.08,0,1.0
C100309,645,53,1200.32,0,1.0
C100311,188,66,650.56,2,
C100313,471,52,7502.0,5,
C100314,689,24,162.64,1,
C100315,309,60,7502.0,5,
C100322,248,24,26250.0,3,
C100329,167,36,20.92,4,
C100330,233,42,322.56,4,0.0
C100331,337,23,9602.72,6,
C100333,741,32,7502.0,1,1.0
C100336,584,55,2700.7200000000003,0,
C100346,750,63,7502.0,5,
C100347,236,58,2400.68,2,
C100349,733,40,7502.0,5,1.0
C100355,319,23,162.64,4,0.0
C100361,338,40,47.07,4,0.0
C100364,395,57,7502.0,5,
C100367,8,51,11.73,2,
C100368,68,50,650.56,2,0.0
C100369,566,57,7502.0,5,
